log_id,activity_mode,xes_runtime_sec,ocel_runtime_sec
log_0001,3,0.0214,0.0132
log_0002,3,0.0035,0.0112
log_0003,3,0.0043,0.0123
log_0004,3,0.0024,0.0056
log_0005,3,0.0061,0.0165
log_0006,3,0.0029,0.0099
log_0007,3,0.0066,0.0091
log_0008,3,0.0044,0.0123
log_0009,3,0.0042,0.0124
log_0010,3,0.0026,0.0078
log_0011,3,0.0037,0.0121
log_0012,3,0.0037,0.0126
log_0013,3,0.0032,0.0093
log_0014,3,0.0029,0.0088
log_0015,3,0.003,0.009
log_0016,3,0.0036,0.0124
log_0017,3,0.002,0.0055
log_0018,3,0.0021,0.0058
log_0019,3,0.0037,0.0141
log_0020,3,0.0024,0.0071
log_0021,3,0.0027,0.0068
log_0022,3,0.002,0.0066
log_0023,3,0.0379,0.0183
log_0024,3,0.0028,0.0092
log_0025,3,0.0029,0.0091
log_0026,6,0.0028,0.0083
log_0027,6,0.0085,0.0274
log_0028,6,0.0066,0.0215
log_0029,6,0.0048,0.0155
log_0030,6,0.0047,0.0517
log_0031,6,0.0045,0.0133
log_0032,6,0.0069,0.0222
log_0033,6,0.0024,0.0063
log_0034,6,0.004,0.0123
log_0035,6,0.0031,0.0097
log_0036,6,0.0049,0.0153
log_0037,6,0.0036,0.0122
log_0038,6,0.0047,0.0157
log_0039,6,0.0062,0.0186
log_0040,6,0.0042,0.013
log_0041,6,0.0065,0.0215
log_0042,6,0.0044,0.0154
log_0043,6,0.0066,0.0211
log_0044,6,0.0078,0.0209
log_0045,6,0.0039,0.0137
log_0046,6,0.0089,0.0272
log_0047,6,0.0045,0.016
log_0048,6,0.0033,0.0102
log_0049,6,0.0068,0.0152
log_0050,6,0.005,0.0317
log_0051,9,0.007,0.0213
log_0052,9,0.0055,0.0188
log_0053,9,0.0067,0.0169
log_0054,9,0.0071,0.0244
log_0055,9,0.0052,0.0155
log_0056,9,0.0051,0.017
log_0057,9,0.0062,0.0199
log_0058,9,0.008,0.0269
log_0059,9,0.0067,0.0216
log_0060,9,0.0093,0.0302
log_0061,9,0.0065,0.021
log_0062,9,0.0068,0.0597
log_0063,9,0.0046,0.0154
log_0064,9,0.0074,0.0245
log_0065,9,0.0067,0.0224
log_0066,9,0.007,0.0233
log_0067,9,0.0091,0.0289
log_0068,9,0.0131,0.041
log_0069,9,0.009,0.0221
log_0070,9,0.0071,0.022
log_0071,9,0.0089,0.0278
log_0072,9,0.0068,0.0215
log_0073,9,0.007,0.0214
log_0074,9,0.0063,0.0189
log_0075,9,0.0083,0.0274
log_0076,12,0.0034,0.0092
log_0077,12,0.0089,0.0313
log_0078,12,0.0061,0.0185
log_0079,12,0.0079,0.0257
log_0080,12,0.0082,0.0272
log_0081,12,0.0063,0.0219
log_0082,12,0.0137,0.033
log_0083,12,0.0094,0.0297
log_0084,12,0.0027,0.0074
log_0085,12,0.0043,0.0103
log_0086,12,0.0135,0.0828
log_0087,12,0.0051,0.0155
log_0088,12,0.008,0.0854
log_0089,12,0.0046,0.0122
log_0090,12,0.012,0.0286
log_0091,12,0.0097,0.0302
log_0092,12,0.0072,0.0248
log_0093,12,0.0132,0.0423
log_0094,12,0.0121,0.0407
log_0095,12,0.0159,0.0494
log_0096,12,0.0053,0.0176
log_0097,12,0.0085,0.0289
log_0098,12,0.0053,0.0173
log_0099,12,0.0061,0.0177
log_0100,12,0.0072,0.0233
log_0101,15,0.0041,0.0122
log_0102,15,0.0072,0.0237
log_0103,15,0.0127,0.0405
log_0104,15,0.0068,0.0222
log_0105,15,0.0084,0.0219
log_0106,15,0.0111,0.0715
log_0107,15,0.0107,0.0352
log_0108,15,0.0056,0.0175
log_0109,15,0.0059,0.0176
log_0110,15,0.005,0.0154
log_0111,15,0.0149,0.0469
log_0112,15,0.0101,0.0329
log_0113,15,0.0076,0.023
log_0114,15,0.0121,0.0393
log_0115,15,0.0058,0.0159
log_0116,15,0.0079,0.0239
log_0117,15,0.0086,0.0276
log_0118,15,0.0078,0.0246
log_0119,15,0.0071,0.0221
log_0120,15,0.0112,0.0349
log_0121,15,0.0057,0.0162
log_0122,15,0.0061,0.0201
log_0123,15,0.0085,0.0287
log_0124,15,0.0098,0.0297
log_0125,15,0.0073,0.024
log_0126,18,0.0053,0.0174
log_0127,18,0.012,0.0685
log_0128,18,0.0052,0.0167
log_0129,18,0.0086,0.0267
log_0130,18,0.0124,0.0394
log_0131,18,0.0094,0.0302
log_0132,18,0.0163,0.053
log_0133,18,0.0107,0.0351
log_0134,18,0.0111,0.0349
log_0135,18,0.0093,0.0319
log_0136,18,0.0096,0.029
log_0137,18,0.0057,0.0186
log_0138,18,0.0084,0.027
log_0139,18,0.0191,0.0537
log_0140,18,0.0115,0.0756
log_0141,18,0.0171,0.0911
log_0142,18,0.0081,0.0267
log_0143,18,0.0166,0.0559
log_0144,18,0.0168,0.0661
log_0145,18,0.0117,0.0236
log_0146,18,0.0149,0.0482
log_0147,18,0.0221,0.0784
log_0148,18,0.019,0.0601
log_0149,18,0.0066,0.0234
log_0150,18,0.0141,0.0459
log_0151,21,0.0173,0.1228
log_0152,21,0.0066,0.0642
log_0153,21,0.0121,0.0404
log_0154,21,0.006,0.0206
log_0155,21,0.0128,0.0402
log_0156,21,0.0045,0.0155
log_0157,21,0.0165,0.0547
log_0158,21,0.0123,0.0409
log_0159,21,0.0063,0.0197
log_0160,21,0.0152,0.0478
log_0161,21,0.0074,0.0225
log_0162,21,0.0152,0.0495
log_0163,21,0.0052,0.0153
log_0164,21,0.0088,0.0653
log_0165,21,0.0147,0.0489
log_0166,21,0.007,0.0207
log_0167,21,0.0037,0.0109
log_0168,21,0.0087,0.0285
log_0169,21,0.0242,0.0556
log_0170,21,0.016,0.0516
log_0171,21,0.0106,0.0351
log_0172,21,0.0087,0.0281
log_0173,21,0.0112,0.0378
log_0174,21,0.0162,0.051
log_0175,21,0.0123,0.0772
log_0176,25,0.0094,0.0238
log_0177,25,0.0062,0.0162
log_0178,25,0.0274,0.1634
log_0179,25,0.0226,0.0729
log_0180,25,0.0102,0.0291
log_0181,25,0.0106,0.0333
log_0182,25,0.0164,0.056
log_0183,25,0.0057,0.0171
log_0184,25,0.0053,0.0153
log_0185,25,0.0272,0.0734
log_0186,25,0.0171,0.1009
log_0187,25,0.0164,0.0494
log_0188,25,0.011,0.0343
log_0189,25,0.0139,0.0435
log_0190,25,0.0071,0.0228
log_0191,25,0.0135,0.0429
log_0192,25,0.0097,0.0302
log_0193,25,0.0181,0.0586
log_0194,25,0.0078,0.0254
log_0195,25,0.009,0.0302
log_0196,25,0.0261,0.134
log_0197,25,0.0108,0.0338
log_0198,25,0.0044,0.0109
log_0199,25,0.0117,0.0783
log_0200,25,0.012,0.0392
